ProcessName,RegionName,Time,Level,CO2c,CO2f,ELC,BIOPEL,NGS,WSTORG,WSTINO,HYG
Unit,-,Year,-,kt/PJ,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ
HYG_BIOPEL_GAS_001,R1,2020,fixed,0,0,0,0,0,0,0,1
HYG_BIOPEL_GAS_001,R1,2025,fixed,0,0,0,0,0,0,0,1
HYG_BIOPEL_GAS_001,R1,2030,fixed,0,0,0,0,0,0,0,1
HYG_BIOPEL_GAS_001,R1,2035,fixed,0,0,0,0,0,0,0,1
HYG_BIOPEL_GAS_001,R1,2040,fixed,0,0,0,0,0,0,0,1
HYG_BIOPEL_GAS_001,R1,2045,fixed,0,0,0,0,0,0,0,1
HYG_BIOPEL_GAS_001,R1,2050,fixed,0,0,0,0,0,0,0,1
HYG_BIOPEL_GAS_C_001,R1,2020,fixed,137.1237841,-137.1237841,0,0,0,0,0,1
HYG_BIOPEL_GAS_C_001,R1,2025,fixed,135.9087971,-135.9087971,0,0,0,0,0,1
HYG_BIOPEL_GAS_C_001,R1,2030,fixed,134.4564621,-134.4564621,0,0,0,0,0,1
HYG_BIOPEL_GAS_C_001,R1,2035,fixed,132.0554538,-132.0554538,0,0,0,0,0,1
HYG_BIOPEL_GAS_C_001,R1,2040,fixed,132.0554538,-132.0554538,0,0,0,0,0,1
HYG_BIOPEL_GAS_C_001,R1,2045,fixed,129.7386915,-129.7386915,0,0,0,0,0,1
HYG_BIOPEL_GAS_C_001,R1,2050,fixed,129.7386915,-129.7386915,0,0,0,0,0,1
HYG_NGS_SMR_001,R1,2020,fixed,0,67.51185074,0,0,0,0,0,1
HYG_NGS_SMR_001,R1,2025,fixed,0,67.0677397,0,0,0,0,0,1
HYG_NGS_SMR_001,R1,2030,fixed,0,66.62655015,0,0,0,0,0,1
HYG_NGS_SMR_001,R1,2035,fixed,0,66.18826286,0,0,0,0,0,1
HYG_NGS_SMR_001,R1,2040,fixed,0,65.75285873,0,0,0,0,0,1
HYG_NGS_SMR_001,R1,2045,fixed,0,65.32031882,0,0,0,0,0,1
HYG_NGS_SMR_001,R1,2050,fixed,0,65.525735,0,0,0,0,0,1
HYG_NGS_SMR_C_001,R1,2020,fixed,61.930275,6.881141667,0,0,0,0,0,1
HYG_NGS_SMR_C_001,R1,2025,fixed,61.930275,6.881141667,0,0,0,0,0,1
HYG_NGS_SMR_C_001,R1,2030,fixed,61.930275,6.881141667,0,0,0,0,0,1
HYG_NGS_SMR_C_001,R1,2035,fixed,61.930275,6.881141667,0,0,0,0,0,1
HYG_NGS_SMR_C_001,R1,2040,fixed,61.930275,6.881141667,0,0,0,0,0,1
HYG_NGS_SMR_C_001,R1,2045,fixed,61.930275,6.881141667,0,0,0,0,0,1
HYG_NGS_SMR_C_001,R1,2050,fixed,61.930275,6.881141667,0,0,0,0,0,1
HYG_NGS_ATR_C_001,R1,2020,fixed,57.7482675,3.0393825,0,0,0,0,0,1
HYG_NGS_ATR_C_001,R1,2025,fixed,57.7482675,3.0393825,0,0,0,0,0,1
HYG_NGS_ATR_C_001,R1,2030,fixed,57.7482675,3.0393825,0,0,0,0,0,1
HYG_NGS_ATR_C_001,R1,2035,fixed,57.7482675,3.0393825,0,0,0,0,0,1
HYG_NGS_ATR_C_001,R1,2040,fixed,57.7482675,3.0393825,0,0,0,0,0,1
HYG_NGS_ATR_C_001,R1,2045,fixed,57.7482675,3.0393825,0,0,0,0,0,1
HYG_NGS_ATR_C_001,R1,2050,fixed,57.7482675,3.0393825,0,0,0,0,0,1
HYG_NGS_ATR_C_002,R1,2020,fixed,54.18860975,2.434806917,0,0,0,0,0,1
HYG_NGS_ATR_C_002,R1,2025,fixed,54.18860975,2.434806917,0,0,0,0,0,1
HYG_NGS_ATR_C_002,R1,2030,fixed,54.18860975,2.434806917,0,0,0,0,0,1
HYG_NGS_ATR_C_002,R1,2035,fixed,54.18860975,2.434806917,0,0,0,0,0,1
HYG_NGS_ATR_C_002,R1,2040,fixed,54.18860975,2.434806917,0,0,0,0,0,1
HYG_NGS_ATR_C_002,R1,2045,fixed,54.18860975,2.434806917,0,0,0,0,0,1
HYG_NGS_ATR_C_002,R1,2050,fixed,54.18860975,2.434806917,0,0,0,0,0,1
HYG_ELC_PEM_001,R1,2020,fixed,0,0,0,0,0,0,0,1
HYG_ELC_PEM_001,R1,2025,fixed,0,0,0,0,0,0,0,1
HYG_ELC_PEM_001,R1,2030,fixed,0,0,0,0,0,0,0,1
HYG_ELC_PEM_001,R1,2035,fixed,0,0,0,0,0,0,0,1
HYG_ELC_PEM_001,R1,2040,fixed,0,0,0,0,0,0,0,1
HYG_ELC_PEM_001,R1,2045,fixed,0,0,0,0,0,0,0,1
HYG_ELC_PEM_001,R1,2050,fixed,0,0,0,0,0,0,0,1
HYG_ELC_ALK_001,R1,2020,fixed,0,0,0,0,0,0,0,1
HYG_ELC_ALK_001,R1,2025,fixed,0,0,0,0,0,0,0,1
HYG_ELC_ALK_001,R1,2030,fixed,0,0,0,0,0,0,0,1
HYG_ELC_ALK_001,R1,2035,fixed,0,0,0,0,0,0,0,1
HYG_ELC_ALK_001,R1,2040,fixed,0,0,0,0,0,0,0,1
HYG_ELC_ALK_001,R1,2045,fixed,0,0,0,0,0,0,0,1
HYG_ELC_ALK_001,R1,2050,fixed,0,0,0,0,0,0,0,1
HYG_ELC_SOE_001,R1,2020,fixed,0,0,0,0,0,0,0,1
HYG_ELC_SOE_001,R1,2025,fixed,0,0,0,0,0,0,0,1
HYG_ELC_SOE_001,R1,2030,fixed,0,0,0,0,0,0,0,1
HYG_ELC_SOE_001,R1,2035,fixed,0,0,0,0,0,0,0,1
HYG_ELC_SOE_001,R1,2040,fixed,0,0,0,0,0,0,0,1
HYG_ELC_SOE_001,R1,2045,fixed,0,0,0,0,0,0,0,1
HYG_ELC_SOE_001,R1,2050,fixed,0,0,0,0,0,0,0,1
HYG_WSTORG_GAS_001,R1,2020,fixed,0,69.74072078,0,0,0,0,0,1
HYG_WSTORG_GAS_001,R1,2025,fixed,0,69.12278227,0,0,0,0,0,1
HYG_WSTORG_GAS_001,R1,2030,fixed,0,68.3841293,0,0,0,0,0,1
HYG_WSTORG_GAS_001,R1,2035,fixed,0,67.16298413,0,0,0,0,0,1
HYG_WSTORG_GAS_001,R1,2040,fixed,0,67.16298413,0,0,0,0,0,1
HYG_WSTORG_GAS_001,R1,2045,fixed,0,65.98468616,0,0,0,0,0,1
HYG_WSTORG_GAS_001,R1,2050,fixed,0,65.98468616,0,0,0,0,0,1
HYG_WSTORG_GAS_C_001,R1,2020,fixed,69.74072078,7.748968975,0,0,0,0,0,1
HYG_WSTORG_GAS_C_001,R1,2025,fixed,69.12278227,7.680309141,0,0,0,0,0,1
HYG_WSTORG_GAS_C_001,R1,2030,fixed,68.3841293,7.598236588,0,0,0,0,0,1
HYG_WSTORG_GAS_C_001,R1,2035,fixed,67.16298413,7.462553792,0,0,0,0,0,1
HYG_WSTORG_GAS_C_001,R1,2040,fixed,67.16298413,7.462553792,0,0,0,0,0,1
HYG_WSTORG_GAS_C_001,R1,2045,fixed,65.98468616,7.331631796,0,0,0,0,0,1
HYG_WSTORG_GAS_C_001,R1,2050,fixed,65.98468616,7.331631796,0,0,0,0,0,1
HYG_WSTINO_GAS_001,R1,2020,fixed,0,69.74072078,0,0,0,0,0,1
HYG_WSTINO_GAS_001,R1,2025,fixed,0,69.12278227,0,0,0,0,0,1
HYG_WSTINO_GAS_001,R1,2030,fixed,0,68.3841293,0,0,0,0,0,1
HYG_WSTINO_GAS_001,R1,2035,fixed,0,67.16298413,0,0,0,0,0,1
HYG_WSTINO_GAS_001,R1,2040,fixed,0,67.16298413,0,0,0,0,0,1
HYG_WSTINO_GAS_001,R1,2045,fixed,0,65.98468616,0,0,0,0,0,1
HYG_WSTINO_GAS_001,R1,2050,fixed,0,65.98468616,0,0,0,0,0,1
HYG_WSTINO_GAS_C_001,R1,2020,fixed,69.74072078,7.748968975,0,0,0,0,0,1
HYG_WSTINO_GAS_C_001,R1,2025,fixed,69.12278227,7.680309141,0,0,0,0,0,1
HYG_WSTINO_GAS_C_001,R1,2030,fixed,68.3841293,7.598236588,0,0,0,0,0,1
HYG_WSTINO_GAS_C_001,R1,2035,fixed,67.16298413,7.462553792,0,0,0,0,0,1
HYG_WSTINO_GAS_C_001,R1,2040,fixed,67.16298413,7.462553792,0,0,0,0,0,1
HYG_WSTINO_GAS_C_001,R1,2045,fixed,65.98468616,7.331631796,0,0,0,0,0,1
HYG_WSTINO_GAS_C_001,R1,2050,fixed,65.98468616,7.331631796,0,0,0,0,0,1
