ProcessName,RegionName,Time,Level,cap_par,cap_exp,fix_par,fix_exp,var_par,var_exp,MaxCapacityAddition,MaxCapacityGrowth,TotalCapacityLimit,TechnicalLife,UtilizationFactor,ScalingSize,efficiency,InterestRate,Type,Fuel,EndUse,Agent2
Unit,-,Year,-,MGBP2020/PJ_a,-,MGBP2020/PJ_a,-,MGBP2020/PJ,-,PJ_a,%,PJ_a,Years,-,PJ,%,-,-,-,-,Retrofit
HYG_BIOPEL_GAS_001,R1,2020,fixed,90.71,0.5984,3.6103,0.6057,2.27,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_001,R1,2025,fixed,85.92,0.5948,3.4243,0.6057,2.21,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_001,R1,2030,fixed,80.22,0.6004,3.0851,0.6005,2.17,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_001,R1,2035,fixed,71.4,0.6004,2.746,0.6005,2.08,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_001,R1,2040,fixed,63.63,0.6004,2.447,0.6005,2,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_001,R1,2045,fixed,60.64,0.6004,2.3323,0.6004,1.97,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_001,R1,2050,fixed,55.95,0.6004,2.1516,0.6004,1.92,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_C_001,R1,2020,fixed,116.14,0.5984,4.6224,0.6057,5.96,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_C_001,R1,2025,fixed,112.17,0.5948,4.4835,0.6057,5.89,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_C_001,R1,2030,fixed,105.95,0.6004,4.0745,0.6005,5.84,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_C_001,R1,2035,fixed,102.28,0.6004,3.9334,0.6005,5.76,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_C_001,R1,2040,fixed,98.61,0.6004,3.7924,0.6005,5.68,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_C_001,R1,2045,fixed,96.17,0.6004,3.6987,0.6004,5.65,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_BIOPEL_GAS_C_001,R1,2050,fixed,93.72,0.6004,3.6044,0.6004,5.59,1,900,900,900,30,0.91,1,100,0.1,energy,BIOPEL,HYG,1
HYG_NGS_SMR_001,R1,2020,fixed,25.868,0.7674,0.6356,1,0.0278,1,900,9000,900,40,0.95,1,100,0.1,energy,NGS,HYG,1
HYG_NGS_SMR_001,R1,2025,fixed,25.868,0.7674,0.6356,1,0.0278,1,900,9000,900,40,0.95,1,100,0.1,energy,NGS,HYG,1
HYG_NGS_SMR_001,R1,2030,fixed,25.868,0.7674,0.6356,1,0.0278,1,900,9000,900,40,0.95,1,100,0.1,energy,NGS,HYG,1
HYG_NGS_SMR_001,R1,2035,fixed,25.868,0.7674,0.6356,1,0.0278,1,900,9000,900,40,0.95,1,100,0.1,energy,NGS,HYG,1
HYG_NGS_SMR_001,R1,2040,fixed,25.868,0.7674,0.6356,1,0.0278,1,900,9000,900,40,0.95,1,100,0.1,energy,NGS,HYG,1
HYG_NGS_SMR_001,R1,2045,fixed,25.868,0.7674,0.6356,1,0.0278,1,900,9000,900,40,0.95,1,100,0.1,energy,NGS,HYG,1
